下半身に生暖かい感触を覚える。	하반신에 미지근한 감촉을 기억한다.
はい、だから余計にご主人様の匂い感じて、はぅ、んちゅぷぅ……私、胸が高鳴ってしまうんです、ちゅるるぅ……！　ご主人様の汚れ、私のお口で綺麗にしますからぁ……	네, 그니까 더 주인님의 냄새를 느껴서…… 저, 가슴이 쿵쾅대요……!　주인님의 더러운 건, 제 입으로 깨끗이 할테니까요……
んちゅぅ、ぢゅぶぅ……！　んむぅ、少しおしっこの味しますね、ご主人様ぁ……美味しいです、はぅ、ちゅりゅぅぅ……私の舌で、全部舐め取って、ちゅるるぅっ……	…………조금 오줌 맛이 나네요, 주인님…… 맛있어요………… 제 혀로, 전부 핥아서……
んむぅ、ぢゅっ……じゅぶぶぅ！　ご主人様の味、ご主人様の味、んちゅぷぅ！　わ、私幸せです、れろぉ、ちゅぅ……んぢゅぅうううっ！	…………　주인님의 맛, 주인님의 맛……!　……저, 저 행복해요………………!
ご主人様ご主人様ご主人様ぁ、れろぉ、じゅぷぅっ……！　私のお口、全部使いますから、んむぅ、ちゅるるぅ……なんでも言って下さいね……！	주인님 주인님 주인님……!　제 입, 전부 쓸테니까…… 뭐든지 말해 주세요……!
愛してます、ご主人様ぁ、はぅ、じゅぶぶぶぶぅ！　私のお口、ご主人様だけのモノですから、んちゅっ、ご主人様も私だけの……れろぉ、ちゅぷっ！　ちゅるるぅっ！	사랑해요, 주인니, 임!　……제 입, 주인님만의 것이니까…… 주인님도 나만의……!
じゅぷっ、んぅ、んじゅぷぅ！　先っぽから根本まで、じゅるるぅ、ご主人様の全て味わい尽くして、れろぉ、ちゅぷぅ、これだけで私、嬉しくて熱くなってしまいます……！	…………끝에서부터 뿌리까지…… 주인님을 전부 맛 보고…… 이것만으로도 저, 기뻐서 뜨거워져 버려요……!
んぷっ、イキそうなんですね、ご主人様ぁ……！　ふふっ！　れろぉ、ちゅぷっ、んぢゅぅうううっ！　精液下さい、ご主人様の精液、一滴残さず、余すところなく……んむぅ、私にぃっ！	……갈 것 같아요, 주인님……!　후훗!　…………정액 주세요, 주인님의 정액, 한 방울도 남기지 말고 남김없이…… 저에게!
んぢゅぅぅぅぅぅ……！　んんぅ、わたくひの、はぅっ……おくひのなか、ごひゅじんひゃまのがたくさん、んぅっ……！	………… 제 ……안쪽에…… 주인니메 것이 잔뜩……!
こくこく、んぅっ……あぁ、美味しいです、ご主人様ぁ……精液こんなに出してくれて、んくっ……私、これだけで蕩けてしまいそうです、はぅうっ……	…………아아, 맛있어요, 주인님…… 정액 이렇게 싸주시고…… 저, 이것만으로도 녹아 버릴 것 같아요……
ふふっ……まだまだ出ますよね、ご主人様ぁ……？　もっともっと……もっともっともっともっと、ご主人様の精液味わわせて下さいね……？	후훗……아직도 나오네요, 주인님……?　좀더 좀더……좀더 좀더 좀더 좀더, 주인님의 정액을 맛보게 해 주세요……?
思わず我慢できずに、お口でご奉仕してしまいましたが……続きはお部屋でしますから、ふふっ……私の身体、どこでもお好きなように使って下さい、ご主人様……	저도 모르게 못 참아서, 입으로 봉사해 버렸지만요…… 다음은 방에서 할테니까, 후훗…… 제 몸, 어디든지 마음대로 써 주세요, 주인님……
その淫靡な笑顔に、俺は打ち抜かれてしまうのであった。	그 음란한 미소에, 나는 함락되는 것이었다.
お願いです、ご主人様ぁ……もう我慢できないんです、キス……キスして下さい、あぁっ……	부탁이에요, 주인님…… 이제 못 참겠어요, 키스…… 키스 해 주세요, 아앗……
ご主人様の唇、んぅ……熱くて、はぁ、私ぃ……ちゅ、ちゅぷぅっ……胸が高鳴ってしまいますぅ、あぁ、ご主人様ご主人様ぁ、愛してます、んちゅぅ……	주인님의 입술…… 뜨거워서, 하아, 저………… 가슴이 두근거려서, 아아, 주인님 주인님, 사랑해요……
んむぅ、私ぃ……ちゅぷぅ、ご主人様さえいれば、他には何もいらないですから、はぅ、ちゅ、んちゅぅ……	……저…… 주인님만 있으면, 다른 건 아무것도 필요없으니까요…………
あぁぁっ……！　ご主人様ぁ、はぅっ……私、私ぃっ……！	………… 주인님…… 저, 저……!
夜伽に誘って頂いた時から、胸が高鳴って……もう我慢できそうにありません、ご主人様とこんなに近くにいるのだから……うぅ、一秒でも早く、ご主人様を感じたいんですぅ……	밤시중에 불렸을 때부터, 가슴이 두근거려서…… 이제 못 참겠어요, 주인님이랑 이렇게 가까이 있으니까…… 1초라도 빨리, 주인님을 느끼고 싶어요……
ご主人様に愛して頂きたいんです……んっ……あ、あの……もう、濡れちゃって、準備できてますから……	주인님에게 사랑받고 싶어요…………저, 저기…… 이제 젖어 버려서, 준비하고 있으니까요……
セックスしてほしいです、ご主人様の逞しいモノで私の中掻き回して、ぐちゅぐちゅにしてぇ……ご主人様の事以外感じられなくしてほしいんです、あぁっ……	섹스하고 싶어요, 주인님의 씩씩한 물건으로 제 안을 휘저어서, 질척질척 하고 싶어…… 주인님의 거기가 아니면 느끼지 못하게 되고 싶어요……
私の身体はご主人様だけのモノですから……あぁ、太くて硬くなってるご主人様の突き入れて、奥までご主人様の形にしてほしいんです……！	제 몸은 주인님만의 것이니까요…… 아아, 굵고 딱딱해진 주인님의 거기를 쑤셔 넣어서, 안쪽까지 주인님의 모양으로 만들고 싶어요……!
ご主人様に挿れてもらえないなら、私、私ぃ……！　あぁっ……きっとこのまま駄目になってしまいます、うぅ……お願いです、ご主人様ご主人様ご主人様ぁっ……！	주인님이 넣어 주지 않으면, 저, 저……!　아앗……분명 이대로 망가져 버릴 거에요, ……부탁이에요, 주인님 주인님 주인님……!
んくぅうううっ……！　はぁはぁ、奥まで届いて、あぁん！　嬉しいですご主人様ぁ！　んんぅ、ぐちゅぐちゅはしたない音響いて、あっあっ、ご主人様ぁっ……！	…………하아하아, 안쪽까지 닿아서, 아앗!　기뻐요 주인님!　……질척질척 부끄러운 소리 내고…… 주인니임……!
ご主人様に奉仕できるって考えたら、んくぅ、私それだけでぇ……！　はぁはぁ、身体疼いてしまうんです、あっあっ、ひゃぁん！	주인님에게 봉사할 수 있고 생각하니…… 저 그것만으로도……!　하아하아, 몸이 달아 올라요…………!
だって私、んんぅ、いつもずっと毎日どんな時もっ……ご主人様の事考えていますから、あっ、んくっ！　本当は片時も離れたくないくらい……だから、キスしたらすぐに濡れて……！	왜냐면 저…… 항상 계속 매일 언제나…… 주인님을 생각하고 있으니까요, 앗……!　잠시도 떨어지고 싶지 않을 정도로…… 그니까, 키스 하자 마자 젖어서……!
あぁ、私ははしたないメイドです、ご主人様ぁ……キスしただけで発情するような、床を汚してしまうくらい、濡れてしまうような……！　んんぅ、はぅううっ！	아아, 저는 버릇없는 메이드에요, 주인님…… 키스한 것만으로도 발정하는, 바닥를 더럽힐 정도로 젖어 버리는………………!
だって私、んんぅ、ご主人様を感じられるだけでぇ、ぁああああっ！　幸せですから、はぁはぁっ、いつまでもこうしていたいんです、あっ、んくぅっ……！	왜냐면 저…… 주인님을 느끼는 것만으로도, 아아아아앗!　행복하니까요, 하아하앗, 언제까지나 이렇게 있고 싶어요, 앗…………!
ご主人様ご主人様ご主人様ぁっ！　あぁ、んくぅん！　こ、こんなに激しくしてくださるなんてぇ、んんぅ！　わ、私、嬉しくて、はぁはぁ、たくさん締め付けてしまいます……！	주인님 주인님 주인님!　아아……!　이, 이렇게 격렬하게 해 주시다니……!　저, 저, 기뻐서, 하아하아, 잔뜩 조여 버려요……!
いつまでこうしていたいです、あっあっ、んひぃん！　私の中、ぐりぐりされて、一番奥、ご主人様のでキスされて……！　もっともっと、感じさせて下さい、んぅ、はぅうん！	언제까지나 이렇게 있고 싶어요…………!　제 안쪽, 둥글둥글해져서, 가장 안쪽, 주인님의 거기에 키스 받아서……!　좀더 좀더, 느끼게 해 주세요…………!
