いけないメイドには、お仕置きしないといけないな……	못난 메이드에게는 벌을 주지 않으면 안되겠지……
は、はい……ご主人様だから、です。ご主人様なら見てくれても……構いません。わたし、ご主人様の為なら、どんな格好でもするんですからね。	네, 네…… 주인님이라서, 그래요. 주인님이라면 보셔도…… 상관없어요. 저, 주인님이라면, 어떤 모습이라도 할테니까요.
……ああ、嬉しいよ。	…… 아아, 기뻐.
ご主人様ぁ……なんでも言って下さい、ふふっ……。わたし、今良い気分なんですぅ、いっぱいご奉仕させて下さいね……	주인님…… 뭐든지 말해 주세요, 후훗……. 저, 지금 좋은 기분이에요, 잔뜩 봉사시켜 주세요……
わたし、んぅ……ご主人様を感じるのも、感じさせるのも大好きなんですぅ。だからぁ、夜伽、いっぱいしますね、はぁ、あぅう……	저…… 주인님을 느끼는 것도, 느끼게 하는 것도 정말 좋아해요. 그니까 밤시중 잔뜩 해요, 하아……
目つきいやらしいです、ご主人様ぁ……。ふふ、期待してるんですね？　大丈夫ですよ、わたしの身体、好きなだけ使って下さい……	눈빛이 야해요, 주인님……. 후후, 기대하고 있네요? 괜찮아요, 제 몸, 마음대로 써 주세요……
あぁ、はぅん……頭ふわふわしてます……。んぅ、こんな時に、ご奉仕するんですか……？　はぁうう……	아아…… 머리가 어질어질해요…….  이럴 때 봉사해요……? ……
今すると、その……上手にはできないかもしれませんよ、んんっ……こんなにお酒入っていたら、はぁ、あぅん……	지금 하면, 그…… 잘 못할지도 몰라요…… 이렇게 술이 들어가 있으면, 하아……
酔っているメイドとなんて、ご主人様ぁ……なんだか、すごくエッチですよぉ、んぅう……	취해 있는 메이드라니, 주인님…… 뭔가, 너무 야해요……
そ、その、うぅ……ご、ごご、ご主人様……よろしく、お願いします……！　はぅう……	그, 그…… 이, 이 뒤에, 주인님…… 잘, 부탁드려요……!……
本当に、わたしでいいんですか……？　あぁ、いえ……不満があるわけでなくて……自信がないんです、わたし……	정말, 저로 좋아요……? 아아, 아뇨…… 불만이 있는 게 아니고…… 자신이 없어요, 저……
ご主人様は、その……わたしの何がいいんですか……？　うぅ、ダメ、なんだか身体が震えるの、抑えられないです……	주인님은, 그…… 저의 뭐가 좋으세요……? ……안돼, 뭔가 몸이 떨리는 걸 못 참겠어요……
それでは、その……ご奉仕、させて頂きますね、ご主人様。	그럼, 그…… 봉사, 해드릴게요, 주인님.
頑張ってしますから。わたしのご奉仕で、気持ち良くなってもらえるように……	열심히 할테니까요. 제 봉사로, 기분 좋아지게 되기를……
あまり見られると、わたし……なんだか恥ずかしくなってしまいます……	너무 보여지면, 저…… 뭔가 부끄러워져 버려요……
ご主人様、いっぱいご奉仕しますね。満足してもらえるように頑張りますから、ふふ。	주인님, 잔뜩 봉사할게요. 만족 하실 수 있도록 열심히 할게요, 후후.
期待してるんですか、ご主人様？　……わたしも、少しドキドキしています……	기대하는 거에요, 주인님?…… 저도, 조금 두근거리고 있어요……
少し、目がエッチですよ、もう……。焦らないでも、わたしは逃げませんよ、ご主人様。	조금, 눈이 야해요, 정말……. 서두르지 않아도 저는 도망가지 않아요, 주인님.
今夜は、その……ご主人様とずっと一緒にいられるんですね。嬉しい……いっぱいいっぱい、ご奉仕させて下さいね。	오늘밤은, 그…… 주인님이랑 계속 같이 있을 수 있는 거네요. 기뻐…… 잔뜩 잔뜩, 봉사시켜 주세요.
ご主人様も、わたしと同じ気持ちだと嬉しいです……。ただ一緒にいるだけで、こんなに胸が熱くなって……	주인님도 저랑 같은 기분이라면 기뻐요……. 그냥 같이 있는 것만으로도 이렇게 가슴이 뜨거워져서……
早くしましょう……ご主人様が欲しくて、もう抑えられそうにないんです……。わたし、ご主人様の事大好きだから……	빨리 해요…… 주인님을 원해서, 이제 못 참겠어요……. 저, 주인님을 너무너무 좋아하니까……
わたしはご主人様だけのモノですから。そ、その……ご主人様の望む事すべて、しますね……？	저는 주인님만의 것이니까요. 그, 그…… 주인님이 바라는 건 전부, 한다구요……?
ご主人様……わたしの身体、好きに使って下さい……。ご主人様のメイドとして、ご奉仕する事がわたしの喜びですから。	주인님…… 제 몸, 마음대로 써 주세요……. 주인님의 메이드로서 봉사하는 게 저의 기쁨이니까요.
んん、ご主人様に見つめられるだけで、胸が熱くなるんです……。ご奉仕、たくさんさせて下さいね、ふふ……	……주인님이 바라보는 것만으로도 가슴이 뜨거워져요……. 봉사, 많이 시켜 주세요, 후후……
え、えっと……わたし、あまり得意な夜伽はありませんが……ご、ご主人様の為に頑張りたいとは思っています、ですから、可愛がって下さい……	으, 음…… 저, 특별히 자신있는 밤시중은 없지만요…… 주, 주인님을 위해서 열심히 하겠다고 생각해요, 그러니까, 귀여워해 주세요……
あまり見つめないで下さい……はうう、は、早くご主人様に満足して頂けるメイドになりたいのですが……まだ、恥ずかしい気持ちが強いです。	너무 쳐다보지 말아 주세요………… 빠, 빨리 주인님이 만족할 수 있는 메이드가 되고 싶지만요…… 아직, 부끄러운 마음이 크네요.
普通のお仕事なら一生懸命しても恥ずかしくなんて無いのに……あうう、夜伽は特別です、ずっとドキドキして……慣れません……	평범한 일이라면 열심히 해도 부끄럽지 않은데…… , 밤시중은 특별해요, 계속 두근두근하고…… 익숙해지지 않아요……
ご主人様は、可愛いメイドがお好みですか？　えへへっ……それならわたし、がんばっちゃいますっ。	주인님은 사랑스러운 메이드가 취향이세요? 에헤헷…… 그럼 저, 열심히 할게요!
ご主人様には、わたしのこと、ちゃんと可愛く見えてるんでしょうか……？　なんだか気になります……	주인님에게는, 저, 제대로 사랑스럽게 보이고 있는 걸까요……? 왠지 신경 쓰여요……
夜伽のときだけじゃなくて、わたしはいつでも、可愛いって言ってくれたら嬉しいです……だからいつも、可愛がってくださいね……？	밤시중 때가 아니더라도, 언제라도 저를 사랑스럽다고 말해 주시면 기쁠거에요…… 그니까 언제나, 귀여워해 주세요……?
ご、ご主人様に褒められると、どきどきしちゃいますね……え、エレガンスメイドなのに、こんなのおかしいですか……？	주, 주인님에 칭찬받으면, 두근두근하네요…… 에, 엘레강스 메이드인데, 이런 건 이상할까요……?
わたし、本当に綺麗ですか……？　そう言っていただけるなら、この身体も……今日はご主人様の好きにしてくださいね……	저, 정말 예뻐요……? 그렇게 말해 주신다면, 이 몸도…… 오늘은 주인님 마음대로 해 주세요……
わたしがエレガンスメイドとして、大人になれたのだとしたら……その、夜伽も……しっかり頑張らなくちゃいけませんね。	제가 엘레강스 메이드로서 어른이 될 수 있었던 거라고 한다면…… 그, 밤시중도…… 제대로 열심히 하지 않으면 안되겠네요.
ご主人様の視線、なんだかエッチです……もしかして、わたしに見とれちゃってますか……？	주인님의 시선, 뭔가 야해요…… 혹시, 저에게 빠져 있어요……?
わたし、セクシーメイドでよかったです。これからご主人様に、いっぱい可愛がってもらえますから……えへっ……	저, 섹시 메이드라서 다행이에요. 지금부터 주인님에게, 잔뜩 귀여움 받을 수 있으니까요…… 에헷……
ご主人様の目、ギラギラしてます……わたし、これからすごいこと、されちゃいそうですね……？	주인님의 눈, 번쩍이고 있어요…… 저, 지금부터 엄청난 일을, 당하겠네요……?
